category,subcategories,description
Flight Operations,Flight Delays,"Issues related to the scheduling, execution, and overall performance of flights. Includes delays, cancellations, and maintenance concerns impacting flight schedules."
Flight Operations,Flight Cancellations,"Issues related to the scheduling, execution, and overall performance of flights. Includes delays, cancellations, and maintenance concerns impacting flight schedules."
Flight Operations,Missed Connections,"Issues related to the scheduling, execution, and overall performance of flights. Includes delays, cancellations, and maintenance concerns impacting flight schedules."
Flight Operations,Gate Issues,"Issues related to the scheduling, execution, and overall performance of flights. Includes delays, cancellations, and maintenance concerns impacting flight schedules."
Flight Operations,Aircraft Maintenance,"Issues related to the scheduling, execution, and overall performance of flights. Includes delays, cancellations, and maintenance concerns impacting flight schedules."
Flight Operations,Pilot Communication,"Issues related to the scheduling, execution, and overall performance of flights. Includes delays, cancellations, and maintenance concerns impacting flight schedules."
Flight Operations,Flight Diversions,"Issues related to the scheduling, execution, and overall performance of flights. Includes delays, cancellations, and maintenance concerns impacting flight schedules."
Baggage Services,Lost Baggage,"Problems associated with the handling, tracking, and delivery of passenger baggage. Includes lost, delayed, and damaged luggage."
Baggage Services,Delayed Baggage,"Problems associated with the handling, tracking, and delivery of passenger baggage. Includes lost, delayed, and damaged luggage."
Baggage Services,Damaged Baggage,"Problems associated with the handling, tracking, and delivery of passenger baggage. Includes lost, delayed, and damaged luggage."
Baggage Services,Baggage Handling Errors,"Problems associated with the handling, tracking, and delivery of passenger baggage. Includes lost, delayed, and damaged luggage."
Customer Service,Agent Performance,"Experiences related to interactions with airline staff and customer support channels. Encompasses agent behavior, response times, and overall communication quality."
Customer Service,Hold Times,"Experiences related to interactions with airline staff and customer support channels. Encompasses agent behavior, response times, and overall communication quality."
Customer Service,Communication Quality,"Experiences related to interactions with airline staff and customer support channels. Encompasses agent behavior, response times, and overall communication quality."
Customer Service,Issue Resolution,"Experiences related to interactions with airline staff and customer support channels. Encompasses agent behavior, response times, and overall communication quality."
Customer Service,Online Support,"Experiences related to interactions with airline staff and customer support channels. Encompasses agent behavior, response times, and overall communication quality."
Customer Service,Complaint Handling,"Experiences related to interactions with airline staff and customer support channels. Encompasses agent behavior, response times, and overall communication quality."
Pricing & Fees,Unexpected Charges,"Concerns regarding ticket pricing, fees levied on services, and related billing disputes."
Pricing & Fees,Fare Disputes,"Concerns regarding ticket pricing, fees levied on services, and related billing disputes."
Pricing & Fees,Ticketing Issues,"Concerns regarding ticket pricing, fees levied on services, and related billing disputes."
Pricing & Fees,Baggage Fees,"Concerns regarding ticket pricing, fees levied on services, and related billing disputes."
Pricing & Fees,Change Fees,"Concerns regarding ticket pricing, fees levied on services, and related billing disputes."
Aircraft & Cabin Experience,Cabin Cleanliness,"Aspects of the physical environment and amenities provided during flights. Covers cleanliness, comfort, and entertainment options."
Aircraft & Cabin Experience,Food & Beverage Quality,"Aspects of the physical environment and amenities provided during flights. Covers cleanliness, comfort, and entertainment options."
Aircraft & Cabin Experience,Seat Comfort,"Aspects of the physical environment and amenities provided during flights. Covers cleanliness, comfort, and entertainment options."
Aircraft & Cabin Experience,In-Flight Entertainment,"Aspects of the physical environment and amenities provided during flights. Covers cleanliness, comfort, and entertainment options."
Loyalty Program,Reward Redemption Issues,"Problems encountered with airline loyalty programs, including reward redemption, status recognition and unsatisfactory solutions for service disruptions."
Loyalty Program,Status Recognition,"Problems encountered with airline loyalty programs, including reward redemption, status recognition and unsatisfactory solutions for service disruptions."
Loyalty Program,Goodwill Gestures,"Problems encountered with airline loyalty programs, including reward redemption, status recognition and unsatisfactory solutions for service disruptions."
Infrastructure & Facilities,Airport Parking,"Issues stemming from the physical infrastructure, including airport facilities and equipment, that impact the passenger experience.  This includes jetways, parking, and overall gate operations."
Infrastructure & Facilities,Jetway Malfunctions,"Issues stemming from the physical infrastructure, including airport facilities and equipment, that impact the passenger experience.  This includes jetways, parking, and overall gate operations."
Infrastructure & Facilities,Gate Availability,"Issues stemming from the physical infrastructure, including airport facilities and equipment, that impact the passenger experience.  This includes jetways, parking, and overall gate operations."
Social Media Sentiment,Positive Feedback,"Reflects overall opinion and feedback expressed regarding the airline via social media channels. Includes positive comments, criticism, and general observations."
Social Media Sentiment,Negative Feedback,"Reflects overall opinion and feedback expressed regarding the airline via social media channels. Includes positive comments, criticism, and general observations."
Social Media Sentiment,General Comments,"Reflects overall opinion and feedback expressed regarding the airline via social media channels. Includes positive comments, criticism, and general observations."
